DISTRICT,YEAR,WINNER,VOTES
CO-03,2010,democrat,118048.0
CO-04,2010,republican,138634.0
CO-04,2010,democrat,109249.0
CO-04,2010,american constitution,12312.0
CO-04,2010,unaffiliated,3986.0
CO-05,2010,republican,152829.0
CO-05,2010,american constitution,5886.0
CO-05,2010,democrat,68039.0
CO-05,2010,libertarian,5680.0
CO-06,2010,democrat,104104.0
CO-06,2010,republican,217368.0
CO-06,2010,libertarian,9466.0
CO-07,2010,democrat,112667.0
CO-07,2010,libertarian,10117.0
CO-07,2010,republican,88026.0
CT-01,2010,democrat,130538.0
CT-01,2010,socialist action,955.0
CT-01,2010,working families,7902.0
CT-01,2010,republican,84076.0
CT-01,2010,green,2564.0
CT-02,2010,green,3344.0
CT-02,2010,democrat,140888.0
CT-02,2010,republican,95671.0
CT-02,2010,working families,6860.0
CT-03,2010,working families,9021.0
CT-03,2010,democrat,134544.0
CT-03,2010,green,2984.0
CT-03,2010,republican,74107.0
CT-04,2010,working families,4605.0
CT-04,2010,democrat,110746.0
CT-04,2010,republican,102030.0
CT-05,2010,republican,102092.0
CT-05,2010,independent,2310.0
CT-05,2010,democrat,118231.0
CT-05,2010,working families,4648.0
DE-00,2010,libertarian,1986.0
DE-00,2010,democrat,173543.0
DE-00,2010,republican,125442.0
DE-00,2010,blue enigma,961.0
DE-00,2010,independent party of delaware,3704.0
FL-01,2010,no party affiliation,23250.0
FL-01,2010,republican,170821.0
FL-02,2010,republican,136371.0
FL-02,2010,democrat,105211.0
FL-02,2010,no party affiliation,7135.0
FL-03,2010,no party affiliation,4625.0
FL-03,2010,democrat,94744.0
FL-03,2010,republican,50932.0
FL-04,2010,no party affiliation,52540.0
FL-04,2010,republican,178238.0
FL-05,2010,republican,208815.0
FL-05,2010,democrat,100858.0
FL-06,2010,no party affiliation,71632.0
FL-06,2010,republican,179349.0
FL-07,2010,democrat,83206.0
FL-07,2010,republican,185470.0
FL-08,2010,democrat,84167.0
FL-08,2010,tea party,8337.0
FL-08,2010,republican,123586.0
FL-08,2010,no party affiliation,4143.0
FL-09,2010,republican,165433.0
FL-09,2010,democrat,66158.0
FL-10,2010,republican,137943.0
FL-10,2010,democrat,71313.0
FL-11,2010,democrat,91328.0
FL-11,2010,republican,61817.0
FL-12,2010,tea party,22857.0
FL-12,2010,democrat,87769.0
FL-12,2010,republican,102704.0
FL-13,2010,democrat,83123.0
FL-13,2010,republican,183811.0
FL-14,2010,republican,188341.0
FL-14,2010,democrat,74525.0
FL-14,2010,no party affiliation,11825.0
FL-15,2010,republican,157079.0
FL-15,2010,democrat,85595.0
FL-16,2010,republican,162285.0
FL-16,2010,democrat,80327.0
FL-17,2010,democrat,106361.0
FL-17,2010,no party affiliation,17009.0
FL-18,2010,democrat,46235.0
FL-18,2010,republican,102360.0
FL-19,2010,democrat,132098.0
FL-19,2010,republican,78733.0
FL-20,2010,no party affiliation,1663.0
FL-20,2010,democrat,100787.0
FL-20,2010,republican,63845.0
FL-21,2010,republican,1.0
FL-22,2010,democrat,99804.0
FL-22,2010,republican,118890.0
FL-23,2010,democrat,100066.0
FL-23,2010,republican,26804.0
FL-24,2010,republican,146129.0
FL-24,2010,democrat,98787.0
FL-25,2010,democrat,61138.0
FL-25,2010,republican,74859.0
FL-25,2010,florida whig party,3244.0
FL-25,2010,tea party,4312.0
GA-01,2010,democrat,46449.0
GA-01,2010,republican,117270.0
GA-02,2010,republican,81673.0
GA-02,2010,democrat,86520.0
GA-03,2010,democrat,73932.0
GA-03,2010,republican,168304.0
GA-04,2010,republican,44707.0
GA-04,2010,democrat,131760.0
GA-05,2010,republican,46622.0
GA-05,2010,democrat,130782.0
GA-06,2010,republican,198100.0
GA-07,2010,democrat,78996.0
GA-07,2010,republican,160898.0
GA-08,2010,republican,102770.0
GA-08,2010,democrat,92250.0
GA-09,2010,republican,173512.0
GA-10,2010,democrat,66905.0
GA-10,2010,republican,138062.0
GA-11,2010,republican,163515.0
GA-12,2010,republican,70938.0
GA-12,2010,democrat,92459.0
GA-13,2010,democrat,140294.0
GA-13,2010,republican,61771.0
HI-01,2010,democrat,94140.0
HI-01,2010,republican,82723.0
HI-02,2010,nonpartisan,1310.0
HI-02,2010,democrat,132290.0
HI-02,2010,libertarian,3254.0
HI-02,2010,republican,46404.0
ID-01,2010,republican,126231.0
ID-01,2010,democrat,102135.0
ID-01,2010,libertarian,4696.0
ID-01,2010,independent,14365.0
ID-02,2010,democrat,48749.0
ID-02,2010,republican,137468.0
ID-02,2010,independent,13500.0
IL-01,2010,green,6963.0
IL-01,2010,democrat,148170.0
IL-01,2010,republican,29253.0
IL-02,2010,green,10564.0
IL-02,2010,republican,25883.0
IL-02,2010,democrat,150666.0
IL-03,2010,democrat,116120.0
IL-03,2010,green,10028.0
IL-03,2010,republican,40479.0
IL-04,2010,green,6808.0
IL-04,2010,republican,11711.0
IL-04,2010,democrat,63273.0
IL-05,2010,democrat,108360.0
IL-05,2010,green,6140.0
IL-05,2010,republican,38935.0
IL-06,2010,democrat,65379.0
IL-06,2010,republican,114456.0
IL-07,2010,independent,4428.0
IL-07,2010,democrat,149846.0
IL-07,2010,republican,29575.0
IL-08,2010,democrat,97825.0
IL-08,2010,green,6495.0
IL-08,2010,republican,98115.0
IL-09,2010,green,4472.0
IL-09,2010,democrat,117553.0
IL-09,2010,republican,55182.0
IL-10,2010,democrat,105290.0
IL-10,2010,republican,109941.0
IL-11,2010,republican,129108.0
IL-11,2010,democrat,96019.0
IL-12,2010,green,7387.0
IL-12,2010,democrat,121272.0
IL-12,2010,republican,74046.0
IL-13,2010,democrat,86281.0
IL-13,2010,republican,152132.0
IL-14,2010,democrat,98645.0
IL-14,2010,republican,112369.0
IL-14,2010,green,7949.0
IL-15,2010,democrat,75948.0
IL-15,2010,republican,136915.0
IL-16,2010,republican,138299.0
IL-16,2010,green,8425.0
IL-16,2010,democrat,66037.0
IL-17,2010,republican,104583.0
IL-17,2010,green,8861.0
IL-17,2010,democrat,85454.0
IL-18,2010,democrat,57046.0
IL-18,2010,republican,152868.0
IL-18,2010,green,11256.0
IL-19,2010,republican,166166.0
IL-19,2010,democrat,67132.0
IN-01,2010,republican,65558.0
IN-01,2010,libertarian,4762.0
IN-01,2010,democrat,99387.0
IN-02,2010,libertarian,9447.0
IN-02,2010,republican,88803.0
IN-02,2010,democrat,91341.0
IN-03,2010,democrat,61267.0
IN-03,2010,republican,116140.0
IN-03,2010,libertarian,7631.0
IN-04,2010,democrat,53167.0
IN-04,2010,republican,138732.0
IN-04,2010,libertarian,10423.0
IN-05,2010,libertarian,18266.0
IN-05,2010,democrat,60024.0
IN-05,2010,republican,146899.0
IN-05,2010,independent,11218.0
IN-06,2010,democrat,56647.0
IN-06,2010,republican,126027.0
IN-06,2010,libertarian,6635.0
IN-07,2010,democrat,86011.0
IN-07,2010,libertarian,4815.0
IN-07,2010,republican,55213.0
IN-08,2010,republican,117259.0
IN-08,2010,libertarian,10240.0
IN-08,2010,democrat,76265.0
IN-09,2010,democrat,95353.0
IN-09,2010,libertarian,12070.0
IN-09,2010,republican,118040.0
IA-01,2010,democrat,104428.0
IA-01,2010,republican,100219.0
IA-01,2010,libertarian,4087.0
IA-02,2010,libertarian,4356.0
IA-02,2010,democrat,115839.0
IA-02,2010,constitution,2463.0
IA-02,2010,republican,104319.0
IA-03,2010,socialist workers,6258.0
IA-03,2010,democrat,122147.0
IA-03,2010,republican,111925.0
IA-04,2010,democrat,74300.0
IA-04,2010,republican,152588.0
IA-05,2010,democrat,63160.0
IA-05,2010,republican,128363.0
KS-01,2010,libertarian,6537.0
KS-01,2010,democrat,44068.0
KS-01,2010,republican,142281.0
KS-02,2010,libertarian,9353.0
KS-02,2010,republican,130034.0
KS-02,2010,democrat,66588.0
KS-03,2010,republican,136246.0
KS-03,2010,democrat,90193.0
KS-03,2010,libertarian,6846.0
KS-04,2010,libertarian,4624.0
KS-04,2010,democrat,74143.0
KS-04,2010,republican,119575.0
KS-04,2010,reform,5041.0
KY-01,2010,republican,153840.0
KY-01,2010,democrat,62090.0
KY-02,2010,republican,155906.0
KY-02,2010,democrat,73749.0
KY-03,2010,democrat,139940.0
KY-03,2010,independent,1334.0
KY-03,2010,republican,112627.0
KY-03,2010,libertarian,2029.0
KY-04,2010,republican,151813.0
KY-04,2010,democrat,66694.0
KY-05,2010,republican,151019.0
KY-05,2010,democrat,44034.0
KY-06,2010,republican,119164.0
KY-06,2010,democrat,119812.0
LA-01,2010,democrat,38416.0
LA-01,2010,republican,157182.0
LA-01,2010,other,4578.0
LA-02,2010,republican,43378.0
LA-02,2010,democrat,83705.0
LA-02,2010,other,1876.0
LA-03,2010,republican,108963.0
LA-03,2010,democrat,61914.0
LA-04,2010,republican,105223.0
LA-04,2010,democrat,54609.0
LA-04,2010,no party,8962.0
LA-05,2010,republican,122033.0
LA-05,2010,no party,33279.0
LA-06,2010,republican,138607.0
LA-06,2010,democrat,72577.0
LA-07,2010,republican,1.0
ME-01,2010,republican,128501.0
ME-01,2010,democrat,169114.0
ME-02,2010,republican,119669.0
ME-02,2010,democrat,147042.0
MD-01,2010,republican,155118.0
MD-01,2010,democrat,120400.0
MD-01,2010,libertarian,10876.0
MD-02,2010,republican,69523.0
MD-02,2010,democrat,134133.0
MD-02,2010,libertarian,5090.0
MD-03,2010,democrat,147448.0
MD-03,2010,libertarian,5212.0
MD-03,2010,constitution,1634.0
MD-03,2010,republican,86947.0
MD-04,2010,republican,31467.0
MD-04,2010,democrat,160228.0
MD-05,2010,libertarian,2578.0
MD-05,2010,democrat,155110.0
MD-05,2010,republican,83575.0
MD-06,2010,republican,148820.0
MD-06,2010,constitution,5907.0
MD-06,2010,democrat,80455.0
MD-06,2010,libertarian,6816.0
MD-07,2010,libertarian,3814.0
MD-07,2010,republican,46375.0
MD-07,2010,democrat,152669.0
MD-08,2010,libertarian,2713.0
MD-08,2010,democrat,153613.0
MD-08,2010,republican,52421.0
MD-08,2010,constitution,696.0
MA-01,2010,democrat,128011.0
MA-01,2010,independent,10880.0
MA-01,2010,republican,74418.0
MA-02,2010,democrat,122751.0
MA-02,2010,republican,91209.0
MA-03,2010,independent,9388.0
MA-03,2010,democrat,122708.0
MA-03,2010,republican,85124.0
MA-04,2010,republican,101517.0
MA-04,2010,democrat,126194.0
MA-04,2010,independent,3445.0
MA-04,2010,tax revolt independent,2873.0
MA-05,2010,liberty,4387.0
MA-05,2010,republican,94646.0
MA-05,2010,democrat,122858.0
MA-05,2010,citizen legislator,1991.0
MA-06,2010,republican,107930.0
MA-06,2010,democrat,142732.0
MA-07,2010,republican,73467.0
MA-07,2010,democrat,145696.0
MA-08,2010,democrat,134974.0
MA-09,2010,republican,59965.0
MA-09,2010,independent,12572.0
MA-09,2010,democrat,157071.0
MA-10,2010,bring home troops,3084.0
MA-10,2010,independent,16705.0
MA-10,2010,republican,120029.0
MA-10,2010,democrat,132743.0
MI-01,2010,democrat,94824.0
MI-01,2010,no party affiliation,7847.0
MI-01,2010,republican,120523.0
MI-01,2010,libertarian,2571.0
MI-01,2010,green,2072.0
MI-01,2010,u.s. taxpayers,4200.0
MI-02,2010,republican,148864.0
MI-02,2010,u.s. taxpayers,2379.0
MI-02,2010,green,2016.0
MI-02,2010,libertarian,2701.0
MI-02,2010,democrat,72118.0
MI-03,2010,green,1575.0
MI-03,2010,republican,133714.0
MI-03,2010,libertarian,2677.0
MI-03,2010,u.s. taxpayers,2144.0
MI-03,2010,democrat,83953.0
MI-04,2010,libertarian,3504.0
MI-04,2010,democrat,68458.0
MI-04,2010,republican,148531.0
MI-04,2010,u.s. taxpayers,3861.0
MI-05,2010,green,2649.0
MI-05,2010,republican,89680.0
MI-05,2010,democrat,107286.0
MI-05,2010,libertarian,2648.0
MI-06,2010,republican,123142.0
MI-06,2010,green,1784.0
MI-06,2010,libertarian,3369.0
MI-06,2010,u.s. taxpayers,3672.0
MI-06,2010,democrat,66729.0
MI-07,2010,republican,113185.0
MI-07,2010,u.s. taxpayers,3705.0
MI-07,2010,democrat,102402.0
MI-07,2010,libertarian,3239.0
MI-07,2010,green,3117.0
MI-08,2010,republican,156931.0
MI-08,2010,democrat,84069.0
MI-08,2010,libertarian,3881.0
MI-09,2010,no party affiliation,1866.0
MI-09,2010,green,2484.0
MI-09,2010,libertarian,2601.0
MI-09,2010,republican,119325.0
MI-09,2010,democrat,125730.0
MI-10,2010,republican,168364.0
MI-10,2010,libertarian,3750.0
MI-10,2010,democrat,58530.0
MI-10,2010,green,3286.0
MI-11,2010,republican,141224.0
MI-11,2010,libertarian,5353.0
MI-11,2010,democrat,91710.0
MI-12,2010,green,3038.0
MI-12,2010,libertarian,2342.0
MI-12,2010,democrat,124671.0
MI-12,2010,republican,71372.0
MI-12,2010,natural law,409.0
MI-12,2010,u.s. taxpayers,2285.0
MI-13,2010,no party affiliation,881.0
MI-13,2010,green,1032.0
MI-13,2010,democrat,100885.0
MI-13,2010,republican,23462.0
MI-13,2010,libertarian,815.0
MI-14,2010,democrat,115511.0
MI-14,2010,libertarian,1859.0
MI-14,2010,republican,29902.0
MI-14,2010,u.s. taxpayers,3206.0
MI-15,2010,green,2686.0
MI-15,2010,libertarian,1969.0
MI-15,2010,u.s. taxpayers,1821.0
MI-15,2010,democrat,118336.0
MI-15,2010,republican,83488.0
MN-01,2010,democrat,122365.0
MN-01,2010,republican,109242.0
MN-01,2010,independence,13242.0
MN-01,2010,party free,3054.0
MN-02,2010,democratic-farmer-labor,104809.0
MN-02,2010,republican,181341.0
MN-03,2010,republican,161177.0
MN-03,2010,democratic-farmer-labor,100240.0
MN-03,2010,independence,12508.0
MN-04,2010,republican,80141.0
MN-04,2010,democrat,136746.0
MN-04,2010,independence,14207.0
MN-05,2010,republican,55222.0
MN-05,2010,independence,7556.0
MN-05,2010,democrat,154833.0
MN-05,2010,independent,8548.0
MN-05,2010,independent progressive,2468.0
MN-06,2010,independence,17698.0
MN-06,2010,independent,5490.0
MN-06,2010,republican,159476.0
MN-06,2010,democratic-farmer-labor,120846.0
MN-07,2010,republican,90652.0
MN-07,2010,democrat,133096.0
MN-07,2010,independent,9317.0
MN-07,2010,independence,7839.0
MN-08,2010,republican,133490.0
MN-08,2010,independence,11876.0
MN-08,2010,constitution,2492.0
MN-08,2010,democrat,129091.0
MS-01,2010,independent,2180.0
MS-01,2010,republican,121074.0
MS-01,2010,constitution,1235.0
MS-01,2010,reform,389.0
MS-01,2010,libertarian,447.0
MS-01,2010,democrat,89388.0
MS-02,2010,democrat,105327.0
MS-02,2010,reform,1530.0
MS-02,2010,republican,64499.0
MS-03,2010,reform,1586.0
MS-03,2010,republican,132393.0
MS-03,2010,democrat,60737.0
MS-04,2010,libertarian,1741.0
MS-04,2010,republican,105613.0
MS-04,2010,democrat,95243.0
MS-04,2010,reform,787.0
MO-01,2010,libertarian,5223.0
MO-01,2010,democrat,135907.0
MO-01,2010,republican,43649.0
MO-02,2010,republican,180481.0
MO-02,2010,democrat,77467.0
MO-02,2010,libertarian,7677.0
MO-03,2010,republican,94757.0
MO-03,2010,constitution,3155.0
MO-03,2010,democrat,99398.0
MO-03,2010,libertarian,5772.0
MO-04,2010,libertarian,6123.0
MO-04,2010,republican,113489.0
MO-04,2010,constitution,3912.0
MO-04,2010,democrat,101532.0
MO-05,2010,constitution,1692.0
MO-05,2010,republican,84578.0
MO-05,2010,democrat,102076.0
MO-05,2010,libertarian,3077.0
MO-06,2010,republican,154103.0
MO-06,2010,democrat,67762.0
MO-07,2010,republican,141010.0
MO-07,2010,libertarian,13866.0
MO-07,2010,democrat,67545.0
MO-08,2010,republican,128499.0
MO-08,2010,democrat,56377.0
MO-08,2010,independent,7193.0
MO-08,2010,libertarian,3930.0
MO-09,2010,libertarian,46817.0
MO-09,2010,republican,162724.0
MT-00,2010,republican,217696.0
MT-00,2010,libertarian,20691.0
MT-00,2010,democrat,121954.0
NE-01,2010,democrat,47106.0
NE-01,2010,republican,116871.0
NE-02,2010,democrat,60486.0
NE-02,2010,republican,93840.0
NE-03,2010,democrat,29932.0
NE-03,2010,republican,117275.0
NV-01,2010,libertarian,2118.0
NV-01,2010,republican,58995.0
NV-01,2010,democrat,103246.0
NV-01,2010,independent american,2847.0
NV-02,2010,republican,169458.0
NV-02,2010,democrat,87421.0
NV-02,2010,independent american,10829.0
NV-03,2010,republican,128916.0
NV-03,2010,independent,6473.0
NV-03,2010,democrat,127168.0
NV-03,2010,libertarian,4026.0
NV-03,2010,independent american,1291.0
NH-01,2010,libertarian,7966.0
NH-01,2010,republican,121655.0
NH-01,2010,democrat,95503.0
NH-02,2010,independent,6197.0
NH-02,2010,libertarian,4796.0
NH-02,2010,democrat,105060.0
NH-02,2010,republican,108610.0
NJ-01,2010,defend american constitution,521.0
NJ-01,2010,green,1593.0
NJ-01,2010,republican,58562.0
NJ-01,2010,democrat,106334.0
NJ-01,2010,time for change,1257.0
NJ-02,2010,marklovett.us,1123.0
NJ-02,2010,democrat,51690.0
NJ-02,2010,american labor,727.0
NJ-02,2010,constitution,4120.0
NJ-02,2010,republican,109460.0
NJ-03,2010,republican,110215.0
NJ-03,2010,democrat,104252.0
NJ-03,2010,new jersey tea party,3284.0
NJ-03,2010,libertarian,1445.0
NJ-03,2010,your country again,1113.0
NJ-04,2010,republican,129752.0
NJ-04,2010,democrat,52118.0
NJ-04,2010,libertarian,2912.0
NJ-04,2010,american renaissance movement,582.0
NJ-04,2010,green,1574.0
NJ-05,2010,democrat,62634.0
NJ-05,2010,for americans,1646.0
NJ-05,2010,republican,124030.0
NJ-05,2010,be determined,336.0
NJ-05,2010,green,2347.0
NJ-06,2010,republican,65413.0
NJ-06,2010,democrat,81933.0
NJ-06,2010,green tea patriots,1017.0
NJ-06,2010,independent,1299.0
NJ-07,2010,republican,105084.0
NJ-07,2010,democrat,71902.0
NJ-08,2010,independent,1707.0
NJ-08,2010,republican,51023.0
NJ-08,2010,democrat,88478.0
NJ-09,2010,democrat,83564.0
NJ-09,2010,republican,52082.0
NJ-09,2010,green,1980.0
NJ-10,2010,democrat,95299.0
NJ-10,2010,agent of change,1080.0
NJ-10,2010,action no talk,1141.0
NJ-10,2010,republican,14357.0
NJ-11,2010,republican,122149.0
NJ-11,2010,libertarian,4179.0
NJ-11,2010,democrat,55472.0
NJ-12,2010,republican,93634.0
NJ-12,2010,truth vision hope,2154.0
NJ-12,2010,democrat,108214.0
NJ-13,2010,gravity buoyancy solution,910.0
NJ-13,2010,republican,19538.0
NJ-13,2010,democrat,62840.0
NJ-13,2010,independent american,1508.0
NM-01,2010,democrat,112010.0
NM-01,2010,republican,104215.0
NM-02,2010,democrat,75708.0
NM-02,2010,republican,94053.0
NM-03,2010,republican,90617.0
NM-03,2010,democrat,120048.0
NY-01,2010,democrat,98316.0
NY-01,2010,republican,78300.0
NY-02,2010,constitution,1256.0
NY-02,2010,republican,58525.0
NY-02,2010,conservative,13504.0
NY-02,2010,democrat,94594.0
NY-03,2010,democrat,51346.0
NY-03,2010,republican,131674.0
NY-04,2010,independence,2940.0
NY-04,2010,democrat,94483.0
NY-04,2010,republican,69323.0
NY-04,2010,conservative,9455.0
NY-05,2010,tax revolt,798.0
NY-05,2010,republican,36861.0
NY-05,2010,democrat,72239.0
NY-05,2010,conservative,4632.0
NY-06,2010,republican,10057.0
NY-06,2010,democrat,85096.0
NY-06,2010,conservative,1769.0
NY-07,2010,green,1038.0
NY-07,2010,republican,13751.0
NY-07,2010,conservative,2394.0
NY-07,2010,democrat,71247.0
NY-08,2010,conservative,2482.0
NY-08,2010,democrat,98839.0
NY-08,2010,republican,29514.0
NY-09,2010,conservative,5379.0
NY-09,2010,democrat,67011.0
NY-09,2010,republican,37750.0
NY-10,2010,republican,7419.0
NY-10,2010,democrat,95485.0
NY-11,2010,democrat,104297.0
NY-11,2010,republican,9119.0
NY-11,2010,conservative,1739.0
NY-12,2010,democrat,68624.0
NY-12,2010,conservative,4482.0
NY-13,2010,conservative,9203.0
NY-13,2010,democrat,60773.0
NY-13,2010,republican,55821.0
NY-13,2010,libertarian,929.0
NY-14,2010,independence,1617.0
NY-14,2010,democrat,107327.0
NY-14,2010,republican,32065.0
NY-14,2010,conservative,1891.0
NY-15,2010,democrat,91225.0
NY-15,2010,conservative,1076.0
NY-15,2010,"independence, vote people change",7803.0
NY-15,2010,socialist worker,2647.0
NY-15,2010,republican,10678.0
NY-16,2010,conservative,501.0
NY-16,2010,democrat,61642.0
NY-16,2010,republican,2257.0
NY-17,2010,democrat,95346.0
NY-17,2010,conservative,5661.0
NY-17,2010,republican,29792.0
